"airport_name","airport_id"
"16 L Ranch","1712401992197406722"
"16 Ranch","1712401733387878402"
"17th Of September","1712402321223778306"
"18 Meadows Aerodrome","1712401747396853761"
"1904 Private Runway","1712401769609887746"
"2 X 4 Ranch","1712401433855852546"
"28 De Noviembre","1712401128254668801"
"2C Ranch","1712401854980751361"
"3 Barrel Ranch","1712401483646435329"
"3 Mill Ranch","1712401965899120641"
"3 Rivers Recreation Area","1712401606782812161"
"3-I Rocker Ranch","1712401813457141762"
"3-M's","1712402267020787713"
"4 Holes Field","1712402010979500034"
"4 S Ranch","1712402272485965826"
"4 Winds Aerodrome","1712402090755162113"
"4-Shipp","1712401513778315265"
"40 Acre Airstrip","1712402111495995393"
"4d Ranch","1712402217607692290"
"4M Ranch Airfield","1712401855303712770"
"5 Lakes","1712401677276479489"
"5B Ranch","1712401646460928002"
"6 Mile Airpark","1712401691188985857"
"6 Ranch","1712401661514285057"
"6666 Ranch","1712401745463279618"
"6b Airfield","1712401487991734274"
"7 Bays","1712401613594361857"
"74 Ranch","1712401526705160194"
"7R Ranch","1712401608519254017"
"85th Avenue Airstrip","1712402010849476609"
"A & L","1712401522544410626"
"A & P Airpark","1712402146623291394"
"A 306","1712401124186193921"
"A 511","1712401124312023041"
"A A Ranch","1712401660079833089"
"A Coruña Airport","1712402601109684226"
"A G A Farms","1712402037969846274"
"A J Patrol","1712401604207509506"
"A Z Minerals Corporation","1712401932759924737"
"A. Paul Vance Fredericktown Regional","1712401700076716034"
"A.N.R. Robinson International Airport","1712402813094002690"
"Aalborg Airport","1712402417105567745"
"Aamby Valley","1712401177667764226"
"Aanenson","1712401890439397378"
"Aarhus Airport","1712402417105567746"
"Aasiaat Airport","1712400995769188353"
"Aba","1712401062194380801"
"Aba","1712401148504768514"
"Aba Hongyuan Airport","1712400985061130242"
"Aba Tenna D Yilma Airport","1712402425737445377"
"Abaco I Walker C","1712402355575128066"
"Abadan Airport","1712402486873620481"
"Abaete","1712401151403032578"
"Abaiang","1712401108952481794"
"Abakan International Airport","1712402572445810690"
"Abare","1712401134197997569"
