"aircraft_model_name","aircraft_model_id"
"Embraer Phenom 300","995197"
"Embraer Phenom 300","995197"
"Bombardier Global 6000","543837"
"Bombardier Challenger 850","150838"
"Bombardier Challenger 850","150838"
"Bombardier Global 6000","543837"
"Gulfstream G450","798637"
"Bombardier Challenger 605","898351"
"Bombardier Challenger 605","898351"
"Bombardier Global Express","934391"
"Bombardier Global 6000","543837"
"Bombardier Challenger 605","898351"
"Bombardier Global 6000","543837"
"Bombardier Global 6000","543837"
"Bombardier Global 6000","543837"
"Gulfstream G450","798637"
"Gulfstream G450","798637"
"Dassault Falcon 7X","663256"
"Gulfstream G450","798637"
"Bombardier Challenger 605","898351"
"Dassault Falcon 8X","657336"
"Bombardier Challenger 605","898351"
"Bombardier Global 6000","543837"
"Bombardier Challenger 605","898351"
"Bombardier Challenger 850","150838"
"Gulfstream G550","107516"
"Bombardier Global 6000","543837"
"Bombardier Challenger 605","898351"
"Bombardier Challenger 605","898351"
"Bombardier Challenger 850","150838"
"Bombardier Global 6000","543837"
"Bombardier Global 6000","543837"
"Gulfstream G550","107516"
"Bombardier Global 6000","543837"
"Bombardier Global 6000","543837"
"Bombardier Global 6000","543837"
"Gulfstream G550","107516"
"Bombardier Global 6000","543837"
"Bombardier Global Express","934391"
"Bombardier Global 6000","543837"
"Dassault Falcon 2000LX","338845"
"Bombardier Challenger 605","898351"
"Bombardier Challenger 605","898351"
"Bombardier Challenger 850","150838"
"Bombardier Global 6000","543837"
"Bombardier Challenger 605","898351"
"Bombardier Global 6000","543837"
"Bombardier Global 6000","543837"
"Bombardier Global 6000","543837"
"Gulfstream G450","798637"
"Bombardier Global 6000","543837"
"Bombardier Learjet 45","966957"
"Cessna Citation Encore+","841646"
"Hawker 800XPi","998287"
"Cessna Citation Mustang","113033"
"Hawker 800XPi","998287"
"Pilatus PC-12","624230"
"Gulfstream G200","852020"
"Hawker 800XPi","998287"
"Cessna Citation Latitude","719597"
"Gulfstream GIV","224166"
"Bombardier Challenger 300","510802"
"Dassault Falcon 8X","657336"
"Bombardier Global Express XRS","212890"
"Bombardier Global Express XRS","212890"
"Dassault Falcon 7X","663256"
"Dassault Falcon 8X","657336"
"Bombardier Challenger 300","510802"
"Cessna Citation Bravo","322888"
"Bombardier Learjet 45","966957"
"Dassault Falcon 50","142300"
"Bombardier Challenger 850","150838"
"Dassault Falcon 7X","663256"
"Cessna Citation Sovereign","745866"
"Dassault Falcon 7X","663256"
"Gulfstream GIV","224166"
"Dassault Falcon 7X","663256"
"Cessna Citation X","297075"
"Bombardier Learjet 35A","284768"
"Gulfstream G450","798637"
"Cessna Citation XLS","332365"
"Hawker 800XP","183216"
"Gulfstream GV","594068"
"Embraer Praetor 600","940279"
"Pilatus PC-12","624230"
"Gulfstream G550","107516"
"Gulfstream GV","594068"
"Hawker 800XP","183216"
"Bombardier Learjet 60","800125"
"Dassault Falcon 7X","663256"
"Beechcraft King Air B200","998253"
"Cessna Citation XLS+","227671"
"Bombardier Learjet 75","819423"
"Bombardier Global Express","934391"
"Dassault Falcon 900EX","163042"
"Cessna Citation Bravo","322888"
"Cessna Citation Mustang","113033"
"Dassault Falcon 2000","889740"
"Hawker 850XP","873868"
"Beechcraft King Air 200","765524"
"Cessna Citation X","297075"
"Dassault Falcon 2000LX","338845"
"Cessna Citation Sovereign","745866"
"Cessna Citation CJ1+","686489"
"Gulfstream G550","107516"
"Cessna Citation Mustang","113033"
"Dassault Falcon 900B","220078"
"Beechcraft Baron","697441"
"Dassault Falcon 7X","663256"
"Dassault Falcon 2000","889740"
"Cessna Citation Sovereign","745866"
"Beechcraft Premier I","791339"
"Dassault Falcon 2000LX","338845"
"Gulfstream GV","594068"
"Bombardier Challenger 605","898351"
"Bombardier Global 5000","686655"
"Dassault Falcon 7X","663256"
"Bombardier Challenger 850","150838"
"Cessna Citation Bravo","322888"
"Cessna Citation III","805283"
"Bombardier Global Express","934391"
"Bombardier Challenger 604","967526"
"Beechcraft King Air B200","998253"
"Embraer Phenom 300","995197"
"Gulfstream GIV","224166"
"Beechcraft King Air 350","432171"
"Gulfstream GIV","224166"
"Dassault Falcon 8X","657336"
"Bombardier Challenger 604","967526"
"Hawker 850XP","873868"
"Dassault Falcon 50EX","727170"
"Pilatus PC-12","624230"
"Nextant 400XT","998264"
"Bombardier Challenger 605","898351"
"Gulfstream GV","594068"
"Pilatus PC-12","624230"
"Cessna Citation VII","998269"
"Gulfstream GV","594068"
"Dassault Falcon 7X","663256"
"Gulfstream G550","107516"
"Dassault Falcon 50","142300"
"Hawker 850XP","873868"
"Dassault Falcon 2000","889740"
"Cessna Citation VII","998269"
"Beechcraft King Air 200","765524"
"Dassault Falcon 7X","663256"
"Gulfstream GIV","224166"
"Beechcraft King Air B200","998253"
"Cessna Citation Mustang","113033"
"Dassault Falcon 8X","657336"
"Beechcraft King Air B200","998253"
"Gulfstream GIV","224166"
"Pilatus PC-12","624230"
"Beechcraft King Air B200","998253"
"Hawker 800XP","183216"
"Dassault Falcon 8X","657336"
"Cessna Citation Sovereign","745866"
"Cessna Citation Bravo","322888"
"Cessna Citation II","998265"
"Hawker 800B","821692"
"Dassault Falcon 900EX","163042"
"Gulfstream GIV","224166"
"Embraer Praetor 600","940279"
"Gulfstream G550","107516"
"Bombardier Global 6000","543837"
"Gulfstream G650","255087"
"Cessna Citation Encore","529545"
"Cessna Citation CJ3+","137974"
"Cessna Citation Ultra","613553"
"Embraer Praetor 600","940279"
"Dassault Falcon 900B","220078"
"Cessna Citation Ultra","613553"
"Dassault Falcon 2000","889740"
"Bombardier Learjet 75","819423"
"Beechcraft King Air 90","966356"
"Bombardier Challenger 350","801899"
"Bombardier Challenger 604","967526"
"Cessna Citation CJ3","607059"
"Bombardier Learjet 45","966957"
"Hawker 850XP","873868"
"Bombardier Challenger 350","801899"
"Cessna 208","877354"
"Bombardier Learjet 31A","773520"
"Bombardier Challenger 350","801899"
"Embraer Legacy 650","784323"
"Embraer Legacy 600","820547"
"Pilatus PC-12","624230"
"Bombardier Challenger 605","898351"
"Hawker 800XP","183216"
"Hawker 900XP","362651"
"Beechcraft 1900D","601877"
"Gulfstream GV","594068"
"Embraer Phenom 300","995197"
"Bombardier Challenger 300","510802"
"Bombardier Challenger 300","510802"
"Embraer Phenom 300","995197"
"Pilatus PC-12","624230"
"Hawker 400XP","231159"
"Beechcraft King Air 350","432171"
"Gulfstream G150","941937"
"Gulfstream G150","941937"
"Cessna Citation CJ2+","332441"
"Cessna Citation CJ3","607059"
"Pilatus PC-12","624230"
"Gulfstream GIV","224166"
"Bombardier Learjet 60","800125"
"Bombardier Challenger 850","150838"
"Embraer Phenom 300","995197"
"Embraer Phenom 300","995197"
"Cessna Citation X","297075"
"Hawker 800XP","183216"
"Pilatus PC-12","624230"
"Nextant 400XT","998264"
"Cessna 208","877354"
"Pilatus PC-12","624230"
"Beechcraft Premier I","791339"
"Beechcraft King Air 90","966356"
"Cessna Citation CJ2+","332441"
"Cessna Citation Bravo","322888"
"Cessna Citation Mustang","113033"
"Cessna 208","877354"
"Bombardier Learjet 45","966957"
"Cessna Citation Ultra","613553"
"Bombardier Challenger 300","510802"
"Cessna Citation XLS+","227671"
"Gulfstream G150","941937"
"Hawker 400XP","231159"
"Bombardier Learjet 60","800125"
"Cessna Citation Sovereign","745866"
"Gulfstream G550","107516"
"Hawker 800XP","183216"
"Cessna Citation XLS","332365"
"Gulfstream G200","852020"
"Cessna Citation X","297075"
"Cessna Citation CJ3+","137974"
"Cessna Citation CJ3","607059"
"Beechcraft King Air B200","998253"
"Pilatus PC-12","624230"
"Cessna Citation CJ1","104688"
"Bombardier Global 7500","553022"
"Cessna Citation Sovereign","745866"
"Bombardier Challenger 300","510802"
"Bombardier Challenger 650","589178"
"Beechcraft King Air 90","966356"
"Cessna Citation X","297075"
"Bombardier Global 5000","686655"
"Bombardier Global 6000","543837"
"Cirrus SR22","998262"
"Pilatus PC-24","573692"
"Cessna Citation XLS","332365"
"Cessna Citation II","998265"
"Cessna Citation CJ3","607059"
"Embraer Legacy 600","820547"
"Pilatus PC-12","624230"
"Dassault Falcon 2000S","271139"
"Beechcraft King Air 350","432171"
"Hawker 900XP","362651"
"Gulfstream GIV","224166"
"Cessna Citation Encore","529545"
"Dassault Falcon 2000EX","770869"
"Bombardier Challenger 350","801899"
"Pilatus PC-12","624230"
"Hawker 400XP","231159"
"Gulfstream GIV","224166"
"Cessna Citation XLS+","227671"
"Bombardier Challenger 300","510802"
"Embraer Phenom 300","995197"
"Hawker 800XP","183216"
"Gulfstream GIV","224166"
"Embraer Phenom 100","832497"
"Hawker 800XP","183216"
"Cessna Citation XLS+","227671"
"Bombardier Learjet 45","966957"
"Cessna Citation II","998265"
"Pilatus PC-12","624230"
"Bombardier Global 5000","686655"
"Bombardier Challenger 300","510802"
"Hawker 400XP","231159"
"Embraer Legacy 650","784323"
"Embraer Praetor 600","940279"
"Nextant 400XT","998264"
"Hawker 400XP","231159"
"Cessna Citation Encore+","841646"
"Beechcraft King Air 90","966356"
"Cessna Citation CJ3+","137974"
"Gulfstream G200","852020"
"Bombardier Challenger 604","967526"
"Hawker 400XP","231159"
"Hawker 900XP","362651"
"Bombardier Challenger 604","967526"
"Dassault Falcon 50EX","727170"
"Gulfstream G550","107516"
"Cessna Citation Encore+","841646"
"Beechcraft Baron","697441"
"Cessna Citation XLS","332365"
"Cessna Citation XLS","332365"
"Cessna Citation Sovereign","745866"
"Gulfstream G200","852020"
"Beechcraft King Air B200","998253"
"Bombardier Learjet 60","800125"
"Cessna Citation XLS","332365"
"Gulfstream GIV","224166"
"Cessna Citation XLS+","227671"
"Gulfstream GV","594068"
"Hawker 850XP","873868"
"Cessna Citation XLS+","227671"
"Hawker 400XP","231159"
"Bombardier Learjet 35A","284768"
"Dassault Falcon 50","142300"
"Gulfstream GIV","224166"
"Cessna Citation X","297075"
"Cessna Citation XLS","332365"
"Bombardier Challenger 604","967526"
"Bombardier Learjet 40","138414"
"Bombardier Challenger 350","801899"
"Bombardier Challenger 350","801899"
"Bombardier Global 7500","553022"
"Boeing BBJ","656640"
"Gulfstream G600","675527"
"Bombardier Challenger 605","898351"
"Embraer Phenom 300","995197"
"Cessna Citation XLS","332365"
"Cessna Citation V","146928"
"Gulfstream G650ER","948856"
"Gulfstream G650ER","948856"
"Embraer Phenom 300E","380374"
"Cessna Citation CJ1+","686489"
"Gulfstream G450","798637"
"Dassault Falcon 10","941261"
"Dassault Falcon 50EX","727170"
"Gulfstream GIV","224166"
"Nextant 400XT","998264"
"Cessna Citation Latitude","719597"
"Embraer Phenom 300","995197"
"Bombardier Global 5000","686655"
"Embraer Legacy 650","784323"
"Cessna Citation Mustang","113033"
"Diamond DA62","998263"
"Pilatus PC-12","624230"
"Cessna Citation XLS","332365"
"Gulfstream G550","107516"
"Dassault Falcon 2000S","271139"
"Embraer Legacy 600","820547"
"Cessna Citation CJ1","104688"
"Cessna Citation CJ1","104688"
"Embraer Legacy 600","820547"
"Bombardier Global Express","934391"
"Bombardier Learjet 45","966957"
"Pilatus PC-12","624230"
"Bombardier Challenger 350","801899"
"Gulfstream GIV","224166"
"Bombardier Challenger 350","801899"
"Embraer Phenom 300","995197"
"Gulfstream GIV","224166"
"Cessna Citation CJ2+","332441"
"Hawker 800XP","183216"
"Hawker 800XP","183216"
"Bombardier Challenger 605","898351"
"Cessna Citation Bravo","322888"
"Cessna Citation XLS","332365"
"Hawker 4000","196856"
"Hawker 850XP","873868"
"Bombardier Learjet 45","966957"
"Embraer Phenom 300","995197"
"Dassault Falcon 2000","889740"
"Pilatus PC-12","624230"
"Embraer Phenom 300","995197"
"Pilatus PC-12","624230"
"Gulfstream GV","594068"
"Beechcraft King Air 300","292602"
"Dassault Falcon 900EX","163042"
"Bombardier Global Express","934391"
"Bombardier Global Express","934391"
"Beechcraft King Air B200","998253"
"Boeing 737","198118"
"Dassault Falcon 900","818417"
"Bombardier Global 6000","543837"
"Cessna Citation VII","998269"
"Hawker 800XP","183216"
"Embraer Legacy 500","581158"
"Beechcraft King Air B200","998253"
"Bombardier Learjet 45","966957"
"Gulfstream GIV","224166"
"Beechcraft King Air B200","998253"
"Cessna Citation XLS","332365"
"Dassault Falcon 900C","345138"
"Bombardier Learjet 60","800125"
"Bombardier Global Express XRS","212890"
"Beechcraft King Air 350","432171"
"Dassault Falcon 10","941261"
"Bombardier Global 6000","543837"
"Dassault Falcon 900","818417"
"Bombardier Global Express","934391"
"Dassault Falcon 7X","663256"
"Cessna Citation X","297075"
"Cessna Citation CJ1+","686489"
"Bombardier Learjet 75","819423"
"Bombardier Global 6000","543837"
"Bombardier Challenger 850","150838"
"Gulfstream G200","852020"
"Bombardier Challenger 605","898351"
"Dassault Falcon 2000","889740"
"Cirrus SR22","998262"
"Hawker 900XP","362651"
"Bombardier Challenger 350","801899"
"Gulfstream G650ER","948856"
"Embraer Legacy 600","820547"
"Cessna Citation Sovereign","745866"
"Cessna Citation X","297075"
"Dassault Falcon 2000S","271139"
"Embraer Phenom 300","995197"
"Cessna Citation Encore","529545"
"Bombardier Challenger 300","510802"
"Bombardier Global Express","934391"
"Hawker 900XP","362651"
"Bombardier Global Express","934391"
"Beechcraft King Air 350","432171"
"Honda HondaJet","979885"
"Cessna Citation X","297075"
"Cessna Citation III","805283"
"Boeing BBJ3","250703"
"Hawker 400XP","231159"
"Cessna Citation XLS","332365"
"Beechcraft King Air 90","966356"
"Cessna Citation III","805283"
"Diamond DA62","998263"
"Dassault Falcon 2000","889740"
"Bombardier Global 6000","543837"
"Beechcraft King Air B200","998253"
"Hawker 1000","823930"
"Dassault Falcon 2000LX","338845"
"Bombardier Challenger 300","510802"
"Bombardier Challenger 350","801899"
"Hawker 400XP","231159"
"Bombardier Learjet 40","138414"
"Cessna Citation M2","806433"
"Bombardier Learjet 60","800125"
"Bombardier Challenger 300","510802"
"Cessna Citation XLS","332365"
"Cessna Citation Bravo","322888"
"Bombardier Learjet 45","966957"
"Bombardier Challenger 604","967526"
"Hawker 800XP","183216"
"Cessna Citation Bravo","322888"
"Bombardier Learjet 40","138414"
"Hawker 800XP","183216"
"Dassault Falcon 2000","889740"
"Dassault Falcon 900DX","965460"
"Gulfstream GV","594068"
"Pilatus PC-12","624230"
"Cessna Citation VI","998268"
"Bombardier Learjet 60","800125"
"Cessna Citation CJ2+","332441"
"Cessna Citation Sovereign","745866"
"Cessna Citation Ultra","613553"
"Hawker 400XP","231159"
"Bombardier Challenger 601","379760"
"Cessna Citation CJ2+","332441"
"Embraer Phenom 300","995197"
"Cessna Citation CJ2","318381"
"Hawker 400","578336"
"Beechcraft King Air 200","765524"
"Hawker 400XP","231159"
"Cessna Citation XLS","332365"
"Bombardier Global Express XRS","212890"
"Embraer Phenom 300","995197"
"Cessna Citation Ultra","613553"
"Cessna Citation XLS+","227671"
"Bombardier Learjet 60","800125"
"Embraer Phenom 300","995197"
"Cessna Citation X","297075"
"Embraer Legacy 500","581158"
"Bombardier Global 6000","543837"
"Bombardier Global 7500","553022"
"Embraer Phenom 300","995197"
"Beechcraft King Air 90","966356"
"Gulfstream G550","107516"
"Beechcraft King Air B200","998253"
"Beechcraft King Air 350","432171"
"Gulfstream G150","941937"
"Pilatus PC-12","624230"
"Gulfstream GIV","224166"
"Pilatus PC-12","624230"
"Bombardier Learjet 45","966957"
"Cessna 182","485762"
"Bombardier Challenger 350","801899"
"Bombardier Challenger 350","801899"
"Bombardier Challenger 350","801899"
"Bombardier Challenger 350","801899"
"Dassault Falcon 2000LX","338845"
"Bombardier Learjet 60","800125"
"Bombardier Challenger 604","967526"
"Dassault Falcon 7X","663256"
"Bombardier Challenger 604","967526"
"Bombardier Learjet 45","966957"
"Hawker 400XP","231159"
"Beechcraft King Air 90","966356"
"Dassault Falcon 2000LX","338845"
"Embraer ERJ 135","536179"
"Bombardier Global 6000","543837"
"Pilatus PC-24","573692"
"Pilatus PC-12","624230"
"Embraer Phenom 100","832497"
"Hawker 850XP","873868"
"Cessna Citation Bravo","322888"
"Hawker 800XP","183216"
"Bombardier Challenger 604","967526"
"Gulfstream GIV","224166"
"Gulfstream GIV","224166"
"Gulfstream G280","434289"
"Bombardier Challenger 300","510802"
"Bombardier Challenger 605","898351"
"Bombardier Challenger 300","510802"
"Dassault Falcon 900","818417"
"Cessna Citation M2","806433"
"Bombardier Challenger 605","898351"
"Pilatus PC-12","624230"
"Cessna Citation CJ3","607059"
"Bombardier Challenger 604","967526"
"Bombardier Learjet 75","819423"
"Bombardier Learjet 60","800125"
"Gulfstream G450","798637"
"Pilatus PC-24","573692"
"Bombardier Learjet 31A","773520"
"Embraer Legacy 600","820547"
"Dassault Falcon 2000EX","770869"
"Bombardier Challenger 350","801899"
"Bombardier Challenger 350","801899"
"Piper PA","998301"
"Cessna Citation Encore","529545"
"Hawker 4000","196856"
"Cessna Citation Sovereign","745866"
"Beechcraft King Air 90","966356"
"Hawker 800XP","183216"
"Pilatus PC-12","624230"
"Gulfstream G550","107516"
"Gulfstream GV","594068"
"Gulfstream GIV","224166"
"Gulfstream G550","107516"
"Hawker 800XP","183216"
"Cessna Citation CJ3+","137974"
"Embraer ERJ 135","536179"
"Cessna Citation V","146928"
"Beechcraft King Air 200","765524"
"Beechcraft King Air 90","966356"
"Cessna Citation CJ4","568693"
"Pilatus PC-12","624230"
"Cessna 208","877354"
"Cessna 208","877354"
"Bombardier Challenger 300","510802"
"Bombardier Challenger 604","967526"
"Bombardier Learjet 60","800125"
"Pilatus PC-12","624230"
"Dassault Falcon 900EX","163042"
"Cessna Citation XLS","332365"
"Bombardier Learjet 45","966957"
"Bombardier Learjet 31A","773520"
"Bombardier Challenger 300","510802"
"Bombardier Challenger 300","510802"
"Beechcraft King Air 200","765524"
"Gulfstream GIV-SP","682136"
"Gulfstream GIV","224166"
"Beechcraft King Air 90","966356"
"Bombardier Learjet 60","800125"
"Cessna Citation Bravo","322888"
"Cessna Citation CJ3","607059"
"Cessna 208","877354"
"Dassault Falcon 900","818417"
"Beechcraft King Air 350","432171"
"Beechcraft King Air B200","998253"
"Gulfstream G500","520685"
"Hawker 800","375081"
"Cessna Citation III","805283"
"BAe 125-800","998259"
"Cessna Citation XLS","332365"
"Bombardier Learjet 75","819423"
"Bombardier Global 6000","543837"
"Bombardier Global 7500","553022"
"Cessna Citation CJ2","318381"
"Bombardier Challenger 850","150838"
"Cessna Citation CJ3","607059"
"Gulfstream G350","674065"
"Bombardier Learjet 60","800125"
"Beechcraft King Air B200","998253"
"Cessna Citation XLS","332365"
"Bombardier Challenger 300","510802"
"Cessna Citation XLS","332365"
"Cessna Citation II","998265"
"Bombardier Challenger 300","510802"
"Embraer Phenom 300","995197"
"Bombardier Challenger 604","967526"
"Pilatus PC-12","624230"
"Cessna Citation Bravo","322888"
"Gulfstream GIV-SP","682136"
"Gulfstream G650","255087"
"Bombardier Challenger 604","967526"
"Bombardier Challenger 605","898351"
"Gulfstream G450","798637"
"Boeing 737","198118"
"Embraer Legacy 600","820547"
"Hawker 900XP","362651"
"Embraer Praetor 600","940279"
"Bombardier Challenger 350","801899"
"Bombardier Learjet 45","966957"
"Embraer Phenom 300","995197"
"Cessna Citation Sovereign","745866"
"Gulfstream G450","798637"
"Embraer Phenom 300","995197"
"Bombardier Global Express","934391"
"Cessna Citation XLS+","227671"
"Cessna Citation Bravo","322888"
"Hawker 900XP","362651"
"Cessna Citation CJ1+","686489"
"Bombardier Global 5000","686655"
"Hawker 800XP","183216"
"Bombardier Challenger 300","510802"
"Bombardier Learjet 60","800125"
"Cessna Citation Sovereign","745866"
"Cessna Citation XLS","332365"
"Cessna Citation XLS+","227671"
"Beechcraft King Air 90","966356"
"Cessna Citation CJ2","318381"
"Bombardier Learjet 45","966957"
"Gulfstream GV","594068"
"Beechcraft King Air 200","765524"
"Cessna Citation Longitude","973044"
"Embraer Phenom 100","832497"
"Cessna Citation Encore","529545"
"Cessna Citation CJ1","104688"
"Hawker 800XP","183216"
"Hawker 400XP","231159"
"Gulfstream G200","852020"
"Beechcraft King Air 90","966356"
"Cessna Citation I/SP","723775"
"Cessna Citation XLS","332365"
"Cessna Citation XLS","332365"
"Bombardier Global 6000","543837"
"Cessna Citation CJ3","607059"
"Cessna Citation Ultra","613553"
"Hawker 400","578336"
"Cessna Citation CJ2+","332441"
"Hawker 800XP","183216"
"Cessna Citation XLS","332365"
"Gulfstream G450","798637"
"Cessna Citation CJ1","104688"
"Gulfstream GIV","224166"
"Dassault Falcon 2000","889740"
"Bombardier Global 6000","543837"
"Pilatus PC-12","624230"
"Gulfstream G550","107516"
"Bombardier Challenger 300","510802"
"Beechcraft King Air 350","432171"
"Beechcraft King Air B200","998253"
"Gulfstream G650ER","948856"
"Boeing 737","198118"
"Beechcraft King Air B200","998253"
"Bombardier Challenger 300","510802"
"Hawker 800XP","183216"
"Dassault Falcon 10","941261"
"Cessna Citation XLS","332365"
"Cessna Citation XLS","332365"
"Bombardier Learjet 35A","284768"
"Cessna Citation Bravo","322888"
"Beechcraft Premier I","791339"
"Cessna Citation Bravo","322888"
"Beechcraft King Air 350","432171"
