"airport_name","icao_code"
"16 L Ranch","16TT"
"16 Ranch","36MT"
"17th Of September","FNBG"
"18 Meadows Aerodrome","18AA"
"1904 Private Runway","4OK0"
"2 X 4 Ranch","NM47"
"28 De Noviembre","SAWT"
"2C Ranch","10TS"
"3 Barrel Ranch","TT65"
"3 Mill Ranch","44XS"
"3 Rivers Recreation Area","OG00"
"3-I Rocker Ranch","UT79"
"3-M's","96GA"
"4 Holes Field","44SC"
"4 S Ranch","TS25"
"4 Winds Aerodrome","IN45"
"4-Shipp","4XA5"
"40 Acre Airstrip","ID52"
"4d Ranch","04TT"
"4M Ranch Airfield","48TE"
"5 Lakes","PA81"
"5B Ranch","1OK8"
"6 Mile Airpark","06TT"
"6 Ranch","05OR"
"6666 Ranch","6TE6"
"6b Airfield","OK68"
"7 Bays","73WA"
"74 Ranch","0XA5"
"7R Ranch","CL25"
"85th Avenue Airstrip","FD02"
"A & L","96KY"
"A & P Airpark","LS77"
"A 306","RKNC"
"A 511","RKSG"
"A A Ranch","WY11"
"A Coruña Airport","LECO"
"A G A Farms","61PN"
"A J Patrol","LS09"
"A Z Minerals Corporation","03UT"
"A. Paul Vance Fredericktown Regional","H88"
"A.N.R. Robinson International Airport","TTCP"
"Aalborg Airport","EKYT"
"Aamby Valley","VAAV"
"Aanenson","KLYV"
"Aarhus Airport","EKAH"
"Aasiaat Airport","BGAA"
"Aba","FZJF"
"Aba","SNDH"
"Aba Hongyuan Airport","ZUHY"
"Aba Tenna D Yilma Airport","HADR"
"Abaco I Walker C","MYAW"
"Abadan Airport","OIAA"
"Abaete","SNLI"
"Abaiang","NGAB"
"Abakan International Airport","UNAA"
"Abare","SDLI"
"Abbaye","GQNE"
"Abbeville","LFOI"
"Abbeville","SC81"
"Abbeville Crusta Meml","KIYA"
"Abbeville Municipal","0J0"
"Abbeyshrule","EIAB"
"Abbotsford International Airport","CYXX"
"Abbott","VG58"
"Abbottabad","OPAB"
"Abbotts","6ME6"
"Abbs","OYBS"
"Abdanan","OICD"
"Abdelhafid Boussouf Bou Chekif Airport","DAOB"
"Abeche","FTTC"
"Abeid Amani Karume International Airport","HTZA"
"Abel Ranch","17MT"
"Abel Santamaria Airport","MUSC"
"Abemama Atoll","NGTB"
"Abengourou","DIAU"
"Aberdeen Field","31VA"
"Aberdeen International Airport","EGPD"
"Aberdeen Municipal","U36"
"Aberdeen Regional Airport","KABR"
"Abernathy Field","KGZS"
"Aberporth","EGFA"
"Abha Airport","OEAB"
"Abi","AK46"
"Abide Airpark","MS30"
"Abilene","14VG"
"Abilene Executive Airpark","TX00"
"Abilene Municipal","K78"
"Abilene Regional Airport","KABI"
"Abingdon Downs","YABI"
"Abong-M`BANG","FKAG"
"Abqaiq","OEBQ"
"Abraham Gonzalez International Airport","MMCS"
"Abraham Lincoln Capital Airport","KSPI"
"Abraham Ranch","7CA1"
"Abrams Municipal","4D0"
"Abresso","WASC"
"Abruzzo Airport","LIBP"
"Abu Dhabi International Airport","OMAA"
