aircraft_id,pure_reg
13505,n970rg
15737,2shot
13506,n829dl
15738,9hxoa
13508,n350vj
15739,cfftr
13509,n535xj
13511,n704da
15741,cffbe
13513,n412ab
15743,cfjic
13515,ohmip
15744,c6eac
13516,n6878c
15745,n101pk
13518,n596hp
15746,oksts
13520,n432rj
15751,ohwiw
15756,n925af
13521,n290mx
15758,n253xs
13522,n202ff
15759,ylare
13523,n335wh
15764,n2g
13524,n14rd
15766,lzegt
13526,oyjjj
15767,n100gx
13527,gcdzt
15768,n946wt
13528,n445md
15777,daaax
13529,oegaf
15779,spomi
13533,n881tw
15786,n289rt
13534,n551cb
15787,n612fa
13535,n316gv
15791,n27fj
13536,n129tp
15792,n421fc
13539,n999lr
15793,n87sn
13543,n209rw
15794,n928k
13544,n116da
15802,giply
13545,n702lv
15803,n501ll
13548,n62gx
15805,n800sd
13549,n4615c
13550,n702rw
15810,spaga
13551,tcsto
15812,n533xj
13553,n350hh
15813,n132je
13554,n651cc
15818,diolb
13562,n859jc
13563,tcrmk
15822,n80ak
13566,eclzs
15823,n60gf
13568,spmbw
15824,n82ng
15825,n285xp
13569,n865pc
15826,n718hc
13572,n415b
15827,n296l
13573,n317mp
15828,diohl
13574,ecngx
15830,n777jz
13575,n804tb
15831,n917fh
13577,n525re
15833,n396bc
13578,n514tb
15840,n367da
13579,n717xj
15842,n351aj
13580,n551ra
15844,n917ea
13582,n399lf
15846,n34sj
13585,cgofs
15849,n968sr
13586,n495dd
15850,n215rb
15852,vhrdi
13588,n776rb
15853,pkeli
13592,9hvig
15854,n605ce
13594,9hvcp
15855,n835cb
13597,9howl
15856,diaar
13603,cgnrc
15857,n786sc
13609,n641at
15859,n88ch
13614,n707hd
15860,n90km
13615,n9943p
15865,n9103j
13619,danxa
15866,n804jm
13620,lvbou
15867,dbekp
13621,n288hl
15869,n388ft
13622,n395am
15870,n204cf
13623,n516db
15873,n200lc
13624,tcmfy
15874,n843gs
13625,xapms
15875,n871cb
13627,n207jb
15876,n803sd
13628,daeom
15879,sxixl
13629,n364ae
15881,difas
13631,n7799t
15882,n301se
13633,n513ub
15883,n733fl
13634,xahel
15886,gulfx
13639,n650tp
15888,n928jk
13641,dikbo
15892,n412ts
13642,n826lj
15893,n68up
13648,n333mv
15895,n795mm
13649,n889mr
15897,n395aa
13652,n724jj
15898,n575rd
13655,n22vk
15899,n479ma
13656,csreu
15900,n910df
13657,dcjms
15903,oegpp
13658,n70hw
15907,n623km
13660,xapso
15909,s5bbg
13662,n792mp
15910,b8256
13663,n475dh
15912,b7795
13666,n2615q
15913,b3370
13668,lnkyv
15916,hslee
13674,n615am
13676,n611az
15919,pkrjp
13677,sptop
15924,t7280
13680,n969re
15925,t7lkt
15926,t7ybh
13681,phuzi
15928,vhpfl
13685,n551xj
15929,vhpfv
13686,n308je
15930,vhpfw
15934,pkidr
13693,n177ta
15936,ja525m
13694,n61wf
15937,ja10mz
15943,b3999
13702,n650at
15944,b8279
13704,disun
15948,b3098
13705,n603gr
15951,b5999
13706,n1111g
15957,b8295
13707,n127za
15962,b91688
13708,lvjjq
15963,b98888
13709,n399nc
15965,b8306
13712,dafai
15966,b8301
15979,b91a8
13713,dcfhz
15980,b7767
13714,dcehm
15982,b651h
13716,cghbs
15983,b7697
15984,b7696
13723,n525ky
15990,b3373
13724,hayfk
15992,vna268
15995,9mtan
13728,fhbza
16000,b3006
13731,diaay
16001,b3008
13732,dcdim
16002,b8263
16003,b8125
13736,n550ew
16007,b10eh
