"registration","aircraft_id"
"5N-CAB","10003"
"5N-BVG","10006"
"9H-VJQ","10007"
"9H-ILI","10008"
"9H-ILA","10009"
"9H-VJA","10010"
"B-8250","10011"
"9H-VFD","10013"
"B-3077","10014"
"9H-OPE","10015"
"9H-VJO","10016"
"9H-VFC","10017"
"9H-VJY","10018"
"9H-VJJ","10020"
"9H-VJI","10021"
"B-652Q","10022"
"B-652R","10023"
"9H-MOON","10024"
"B-652S","10025"
"9H-VFG","10026"
"9H-KIM","10027"
"9H-VFA","10028"
"9H-VJN","10029"
"9H-VFF","10030"
"9H-ILZ","10031"
"B-8260","10032"
"9H-VJK","10033"
"9H-VFB","10034"
"9H-VFI","10035"
"9H-ILY","10036"
"9H-VJP","10037"
"9H-VJC","10038"
"B-8255","10039"
"9H-SFG","10040"
"9H-LXX","10041"
"9H-VJD","10042"
"B-8259","10043"
"9H-VJF","10044"
"9H-III","10045"
"9H-VJM","10046"
"B-1999","10047"
"9H-VFE","10048"
"9H-VFH","10049"
"9H-ILV","10050"
"9H-IGH","10051"
"9H-VFJ","10052"
"9H-VJE","10053"
"9H-VJH","10054"
"9H-VJG","10055"
"B-8271","10057"
"9H-VJL","10058"
"ZS-SGU","10060"
"VH-MXD","10063"
"VT-FAF","10065"
"HS-VIP","10066"
"VT-POP","10067"
"N214CS","10071"
"N819AP","10073"
"VH-RIU","10074"
"OE-GLC","10075"
"N899AL","10077"
"N41DP","10078"
"OY-OLD","10079"
"OE-LCA","10080"
"VH-VSK","10083"
"OY-EJD","10084"
"OY-SKK","10085"
"OE-HPG","10086"
"HS-MED","10088"
"N32AA","10092"
"VH-FJQ","10093"
"D-ALIK","10096"
"OO-LAH","10097"
"VH-EXG","10103"
"PH-RME","10105"
"N610GW","10106"
"OY-VIK","10107"
"N948TX","10108"
"N11GJ","10110"
"HZ-A22","10111"
"N97VS","10113"
"N585VC","10114"
"N996GA","10116"
"UP-EM022","10117"
"VH-NQB","10118"
"N588TN","10120"
"N11GW","10121"
"ZS-ZIM","10122"
"VH-ILJ","10123"
"OY-EKC","10125"
"ZK-MFT","10129"
"OE-GTS","10130"
"N753A","10132"
"VH-OFX","10135"
"VH-MXJ","10136"
"VH-CCJ","10137"
"ZK-VXM","10140"
"OY-GFS","10142"
"PP-JFZ","10144"
"F-HFTV","10145"
"HS-KCS","10148"
"PH-CGV","10150"
"ZK-RXD","10154"
"OE-FSR","10155"
"N770AW","10156"
"ZK-LCA","10157"
"P4-BFV","10159"
